disposition_date,disposition_year,shipment_date,shipment_year,replacement_disposition_date
12/29/99,1999,1/1/00,2000,
1/5/99,1999,1/1/00,2000,1/5/00
12/30/99,1999,1/2/00,2000,
1/7/99,1999,1/2/00,2000,1/7/00
12/30/99,1999,1/3/00,2000,
1/6/99,1999,1/3/00,2000,1/6/00
12/30/99,1999,1/5/00,2000,
1/5/99,1999,1/5/00,2000,1/5/00
1/13/99,1999,1/5/00,2000,1/13/00
12/22/99,1999,1/5/00,2000,
1/28/99,1999,1/5/00,2000,1/28/00
1/6/99,1999,1/6/00,2000,1/6/00
11/19/99,1999,1/6/00,2000,
11/4/99,1999,1/11/00,2000,
1/28/99,1999,1/11/00,2000,1/28/00
1/24/99,1999,1/12/00,2000,1/24/00
1/12/99,1999,1/12/00,2000,1/12/00
2/16/99,1999,1/13/00,2000,2/16/00
12/15/99,1999,1/13/00,2000,
1/20/99,1999,1/18/00,2000,1/20/00
1/18/99,1999,1/18/00,2000,1/18/00
1/19/99,1999,1/19/00,2000,1/19/00
1/20/99,1999,1/20/00,2000,1/20/00
12/28/99,1999,1/20/00,2000,
1/24/99,1999,1/22/00,2000,1/24/00
1/24/99,1999,1/23/00,2000,1/24/00
1/26/99,1999,1/26/00,2000,1/26/00
1/30/99,1999,1/30/00,2000,1/30/00
2/2/99,1999,2/2/00,2000,2/2/00
2/10/99,1999,2/9/00,2000,2/10/00
2/14/99,1999,2/13/00,2000,2/14/00
2/16/99,1999,2/15/00,2000,2/16/00
2/18/99,1999,2/17/00,2000,2/18/00
2/22/99,1999,2/18/00,2000,2/22/00
2/20/99,1999,2/20/00,2000,2/20/00
3/1/99,1999,2/29/00,2000,3/1/00
11/28/99,1999,3/1/00,2000,
3/6/99,1999,3/3/00,2000,3/6/00
3/14/99,1999,3/14/00,2000,3/14/00
3/16/99,1999,3/16/00,2000,3/16/00
3/17/99,1999,3/17/00,2000,3/17/00
3/20/99,1999,3/19/00,2000,3/20/00
3/21/99,1999,3/21/00,2000,3/21/00
3/27/99,1999,3/27/00,2000,3/27/00
3/29/99,1999,3/28/00,2000,3/29/00
4/16/99,1999,4/16/00,2000,4/16/00
4/23/99,1999,4/23/00,2000,4/23/00
5/3/99,1999,5/3/00,2000,5/3/00
5/10/99,1999,5/9/00,2000,5/10/00
5/11/99,1999,5/11/00,2000,5/11/00
5/16/99,1999,5/16/00,2000,5/16/00
5/19/99,1999,5/19/00,2000,5/19/00
5/21/99,1999,5/21/00,2000,5/21/00
5/22/99,1999,5/22/00,2000,5/22/00
5/25/99,1999,5/24/00,2000,5/25/00
5/27/99,1999,5/26/00,2000,5/27/00
5/27/99,1999,5/28/00,2000,5/27/00
5/30/99,1999,5/30/00,2000,5/30/00
6/19/99,1999,6/1/00,2000,6/19/00
6/11/99,1999,6/4/00,2000,6/11/00
6/6/99,1999,6/6/00,2000,6/6/00
6/16/99,1999,6/9/00,2000,6/16/00
6/22/99,1999,6/9/00,2000,6/22/00
6/10/99,1999,6/10/00,2000,6/10/00
6/13/99,1999,6/13/00,2000,6/13/00
6/21/99,1999,6/17/00,2000,6/21/00
6/23/99,1999,6/21/00,2000,6/23/00
6/26/99,1999,6/26/00,2000,6/26/00
6/29/99,1999,6/29/00,2000,6/29/00
7/7/99,1999,6/30/00,2000,7/7/00
6/30/99,1999,6/30/00,2000,6/30/00
7/4/99,1999,7/4/00,2000,7/4/00
7/20/99,1999,7/12/00,2000,7/20/00
7/26/99,1999,7/21/00,2000,7/26/00
7/25/99,1999,7/22/00,2000,7/25/00
7/24/99,1999,7/23/00,2000,7/24/00
7/23/99,1999,7/23/00,2000,7/23/00
7/28/99,1999,7/28/00,2000,7/28/00
7/29/99,1999,7/29/00,2000,7/29/00
8/1/99,1999,7/29/00,2000,8/1/00
8/10/99,1999,8/5/00,2000,8/10/00
9/6/99,1999,8/6/00,2000,9/6/00
9/3/99,1999,8/9/00,2000,9/3/00
8/24/99,1999,8/24/00,2000,8/24/00
8/27/99,1999,8/27/00,2000,8/27/00
8/29/99,1999,8/29/00,2000,8/29/00
8/15/99,1999,9/9/00,2000,8/15/00
9/10/99,1999,9/10/00,2000,9/10/00
9/14/99,1999,9/10/00,2000,9/14/00
9/12/99,1999,9/12/00,2000,9/12/00
9/14/99,1999,9/14/00,2000,9/14/00
9/28/99,1999,9/28/00,2000,9/28/00
10/6/99,1999,10/6/00,2000,10/6/00
11/3/99,1999,10/29/00,2000,11/3/00
11/9/99,1999,11/7/00,2000,11/9/00
11/12/99,1999,11/9/00,2000,11/12/00
11/9/99,1999,11/10/00,2000,11/9/00
11/10/99,1999,11/10/00,2000,11/10/00
11/14/99,1999,11/14/00,2000,11/14/00
11/17/99,1999,11/16/00,2000,11/17/00
11/6/99,1999,11/16/00,2000,11/6/00
11/16/99,1999,11/16/00,2000,11/16/00
11/23/99,1999,11/19/00,2000,11/23/00
12/2/99,1999,11/26/00,2000,12/2/00
12/6/99,1999,11/26/00,2000,12/6/00
11/30/99,1999,11/30/00,2000,11/30/00
12/4/99,1999,12/4/00,2000,12/4/00
12/21/99,1999,12/10/00,2000,12/21/00
12/15/99,1999,12/15/00,2000,12/15/00
11/3/99,1999,12/17/00,2000,11/3/00
12/29/99,1999,12/29/00,2000,12/29/00
8/16/99,1999,8/14/01,2001,8/16/01
11/10/99,1999,11/9/02,2002,11/10/02
