control_number,species_code,genus,species,subspecies,specific_name,generic_name,wildlife_description,quantity,unit,value,country_origin_iso2c,country_imp_exp_iso2c,purpose,source_,action,disposition,disposition_date,shipment_date,import_export,port,us_co,foreign_co,file_num,description,country_origin,country_imp_exp,source
2011812312,CY0?,crocodylus,species,NA,NA,CROCODILE,SKP,1,NO,0,PE,PE,P,W,R,S,5/16/11,5/14/11,I,AT,NA,NA,2,SKP,PE,PE,W
2011812312,ML,NA,NA,NA,MAMMALS,ALL MAMMALS,TEE,7,NO,0,PE,PE,P,W,R,S,5/14/10,5/14/11,I,AT,NA,NA,2,TEE,PE,PE,W
2011812312,ML,NA,NA,NA,MAMMALS,ALL MAMMALS,BOC,5,NO,0,PE,PE,P,W,R,S,5/14/11,5/14/11,I,AT,NA,NA,2,BOC,PE,PE,W
2011812312,RE##,reptilia,NA,NA,NA,ALL REPTILES,JWL,2,NO,0,PE,PE,P,W,R,S,5/16/11,5/14/11,I,AT,NA,NA,2,JWL,PE,PE,W
2011812312,RPT?,ramphastos,species,NA,NA,TOUCAN,SKU,1,NO,0,PE,PE,P,W,R,S,5/14/10,5/14/11,I,AT,NA,NA,2,SKU,PE,PE,W
2011818299,CRUS,NA,NA,NA,"CRABS,LOBSTERS,",CRUSTACEANS,LIV,2554,NO,NA,HT,HT,T,W,C,C,7/8/11,7/1/10,I,MI,"ORNAMENTAL FISH DISTRIBUTORS,  INC.",CARAIBES FISH SHELLS AND INVERTS,3,LIV,HT,HT,W
2011818299,MATF,tropical fish,(marine spp.),NA,NA,NA,LIV,1733,NO,NA,HT,HT,T,W,C,C,7/8/11,7/1/10,I,MI,"ORNAMENTAL FISH DISTRIBUTORS,  INC.",CARAIBES FISH SHELLS AND INVERTS,3,LIV,HT,HT,W
2011818299,MOLL,NA,NA,NA,SHELLS,MOLLUSCS,LIV,149,NO,NA,HT,HT,T,W,C,C,7/8/11,7/1/10,I,MI,"ORNAMENTAL FISH DISTRIBUTORS,  INC.",CARAIBES FISH SHELLS AND INVERTS,3,LIV,HT,HT,W
2011818299,NONV,noncites entry,NA,NA,NA,OTHER INVERTEBRATE,LIV,1241,NO,NA,HT,HT,T,W,C,C,7/8/11,7/1/10,I,MI,"ORNAMENTAL FISH DISTRIBUTORS,  INC.",CARAIBES FISH SHELLS AND INVERTS,3,LIV,HT,HT,W
2013289374,FECA,caracal,caracal,NA,NA,CARACAL,TRO,1,NO,NA,ZA,ZA,H,W,C,C,6/6/13,6/3/13,I,HN,EXEMPTIONS 6 AND 7(C),JOE REGAL TAXIDERMY,1,TRO,ZA,ZA,W
