species_code,genus,species,subspecies,specific_name,generic_name,new_genus,new_species,new_subspecies,new_specific_name,new_generic_name
AACE,,,,,,ACROPORA,ACERVATA,,STAGHORN,CORAL
AAPP,,,,,,ACROPORA,APPRESSA, ,STAGHORN,CORAL
ABAT,,,,,,ACROPORA,BATUNAI,,STAGHORN,CORAL
ABRN,,,,,,ACROPORA,BRANCHI,,STAGHORN,CORAL
ACAB,,,,,,ACROPORA,ABROLHOSENSIS, ,STAGHORN,CORAL
ACAE,,,,,,ACANTHASTREA,ECHINATA, , ,CORAL
ACAU,,,,,,ACROPORA,AUSTERA, ,STAGHORN,CORAL
ACAZ,,,,,,ACROPORA,AZUREA, ,STAGHORN,CORAL
ACDI,,,,,,ACROPORA,DIGITIFERA, ,STAGHORN,CORAL
ACFO,,,,,,ACROPORA,FORMOSA, ,STAGHORN,CORAL
ACGE,,,,,,ACROPORA,GEMMIFERA, ,STAGHORN,CORAL
ACHS,,,,,,ACROPORA,CHESTERFIELDENSIS, ,STAGHORN,CORAL
ACML,,,,,,ACROPORA,MILLEPORA, ,STAGHORN,CORAL
ACNS,,,,,,ACROPORA,NASUTA, ,STAGHORN,CORAL
ACPU,,,,,,ACROPORA,PULCHRA, ,STAGHORN,CORAL
ACRA,,,,,,ACROPORA,ASPERA, ,STAGHORN,CORAL
ACRC,,,,,,ACROPORA,CEREALIS, ,STAGHORN,CORAL
ACRE,,,,,,ACROPORA,ECHINATA, ,STAGHORN,CORAL
ACRJ,,,,,,ACROCHORDUS,JAVANICUS, ,KARUNG,SNAKE
ACRP,,,,,,ACROPORA,PALMERAE, ,STAGHORN,CORAL
ACSQ,,,,,,ACROPORA,SQUAMOSA,,STAGHORN,CORAL
ACSY,,,,,,ACROPORA,SYRINGODES,,STAGHORN,CORAL
ACTE,,,,,,ACROPORA,TENUIS, ,STAGHORN,CORAL
ACYO,,,,,,ACROPORA,YONGEI, ,STAGHORN,CORAL
ADES,,,,,,ACROPORA,DESALWII,,STAGHORN,CORAL
AEFF,,,,,,ACROPORA,EFFLORESCENS,,STAGHORN,CORAL
AGOM,,,,,,ACROPORA,GOMEZI,,STAGHORN,CORAL
AHEM,,,,,,ACROPORA,HEMPRICHII, ,STAGHORN,CORAL
ALLM,,,,,,ALLIGATOR,MISSISSIPPIENSIS, ,AMERICAN,ALLIGATOR
ALOK,,,,,,ACROPORA,LOKANI,,STAGHORN,CORAL
ALOR,,,,,,ACROPORA,LORIPES, ,BLUETIP,CORAL
ALSP,,,,,,ALVEOPORA,SPONGIOSA, , ,CORAL
AMBY,,,,,,AMBYSTOMA,SPECIES, ,MOLE,SALAMANDER
ANLS,,,,,,ACROPORA,NATALENSIS,,STAGHORN,CORAL
ANNA,,,,,,ACROPORA,NANA, ,STAGHORN,CORAL
ANOW,,,,,,ANODONTA,WOODIANA, , ,MUSSEL
APLN,,,,,,ACROPORA,PLANA,,STAGHORN,CORAL
APRL,,,,,,ACROPORA,PARILIS, ,STAGHORN,CORAL
APRO,,,,,,ACROPORA,PROFUSA,,STAGHORN,CORAL
ASEC,,,,,,ACROPORA,SECALE, ,STAGHORN,CORAL
ASQU,,,,,,ACROPORA,SQUARROSA, ,STAGHORN,CORAL
ASUH,,,,,,ACROPORA,SUHARSONOI,,STAGHORN,CORAL
AVAL,,,,,,ACROPORA,VALIDA, ,STAGHORN,CORAL
BABS,,,,,,BABYLONIA,SPIRATA, , ,SHELL
BAWW,,,,,,MNIOTILTA,VARIA, ,BLACK-AND-WHITE,WARBLER
BFOX,,,,,,ALOPEX,LAGOPUS, ,BLUE,FOX
BLWE,,,,,,BLASTOMUSSA,WELLSI, , ,CORAL
BOSM,,,,,,BOS,GRUNNIENS, ,DOMESTIC,YAK
BROS,,,,,,PTERIA,PENGUIN, ,BROWNLIP,SHELL
BUSB,,,,,,TRAGELAPHUS,SCRIPTUS, , ,BUSHBUCK
BUTT,,,,,, , , ,NON-CITES,BUTTERFLIES
CAGO,,,,,,BRANTA,CANADENSIS, ,CANADA,GOOSE
CARI,,,,,,RANGIFER,TARANDUS, , ,CARIBOU
CASH,,,,,,PLACUNA,PLACENTA, ,CAPIZ,SHELL
CATJ,,,,,,CATALAPHYLLIA,JARDINEI, ,ELEGANT,CORAL
CAU?,,,,,,CAULASTRAEA,SPECIES, ,TORCH,CORAL
CAUE,,,,,,CAULASTRAEA,ECHINULATA, ,TORCH,CORAL
CCLY,,,,,,COENOBITA,CLYPEATA,,LAND HERMIT,CRAB
CCRP,,,,,,CYPRINUS,CARPIO, , ,CARP
CHEL,,,,,,CHELONIIDAE, , , ,SEA TURTLE
CNIL,,,,,,CROCODYLUS,NILOTICUS, ,NILE,CROCODILE
CODP,,,,,,CODAKIA,PUNCTATA,,,SHELL
CORU,,,,,,CORALLIUM,RUBRUM, ,RED PRECIOUS,CORAL
CPS?,,,,,,CYPRAECASSIS,SPECIES, , ,HELMET
CROZ,,,,,,CROCODYLUS,NILOTICUS, ,NILE,CROCODILE
CRSA,,,,,,CARASSIUS,AURATUS, , ,GOLDFISH
CRUS,,,,,, , ,,"CRABS,LOBSTERS,",CRUSTACEANS
CSL?,,,,,,CHRYSOLOPHUS,SPECIES,,,PHEASANT
CUMI,,,,,,CUCUMARIA,MINIATA,,,SEA CUCUMBER
CYLA,,,,,,CYNARINA,LACRYMALIS, ,CAT'S-EYE,CORAL
DABL,,,,,,DASYATIS,BLEEKERI, , ,STINGRAY
ECHL,,,,,,ECHINOPORA,LAMELLOSA, , ,CORAL
ELKK,,,,,,CERVUS,ELAPHUS, , ,ELK
ELRA,,,,,,ELAPHE,RADIATA, ,RADIATED RAT,SNAKE
EUAN,,,,,,EUPHYLLIA,ANCORA, ,ANCHOR,CORAL
EUCR,,,,,,EUPHYLLIA,CRISTATA, ,WHITE GRAPE,CORAL
EUDI,,,,,,EUPHYLLIA,DIVISA, ,FROGSPAWN,CORAL
EUGL,,,,,,EUPHYLLIA,GLABRESCENS, ,TRUMPET,CORAL
FAAB,,,,,,FAVITES,ABDITA, ,HONEYCOMB,CORAL
FAVC,,,,,,FAVITES,CHINENSIS, , ,CORAL
FAVI,,,,,,FAVIA,SPECIES, ,BRAIN,CORAL
FAVP,,,,,,FAVIA,PALLIDA, ,BRAIN,CORAL
FRFR,,,,,,FRAGUM,FRAGUM,,,COCKLE
