genus,species,subspecies,specific_name,generic_name,new_genus,new_species,new_subspecies,new_specific_name,new_generic_name
acanthurria,geniculata,,,,acanthoscurria,geniculata,,,
acmea,tretupinaria,,,,acmaea,sp.,,,
adenomera,andrae,,,,adenomera,andreae,,,
aedea,scapularis,,,,aedes,scapularis,,,
aegagrus,hircus,kod capra,,,capra,aegagrus,hircus,,
aeolicus,strigatus,,ZEBRA,SHRIMP,aeoliscus,strigatus,,ZEBRA,SHRIMPFISH
aequipectin,opercularis,,QUEEN,SCALLOP,aequipecten,opercularis,,QUEEN,SCALLOP
aequipectin,opercularis,,,,aequipecten,opercularis,,,
aequipectin,sp.,,,SCALLOP,aequipecten,sp.,,,SCALLOP
aequora,sp.,,,JELLYFISH,aequorea,sp.,,,JELLYFISH
afrilaxus,dorsalis,,,,afrixalus,dorsalis,,,
afrilaxus,fornasini,,SILVER-BAND BANANA,FROG,afrixalus,fornasini,,SILVER-BAND BANANA,FROG
afrilaxus,fulvovittatus,,BANDED BANANA,FROG,afrixalus,fulvovittatus,,BANDED BANANA,FROG
afrilaxus,pygmecus,,,,afrixalus,pygmaeus,,,
afrilaxus,sp.,,BANANA,FROG,afrixalus,sp.,,BANANA,FROG
agestreta,orichalcea,,GREEN ROSE CHAFER,BEETLE,agestrata,orichalca,,GREEN ROSE CHAFER,BEETLE
agrionis,microptera,,GREY-BELLIED,SHRIKE-TYRANT,agriornis,microptera,,GREY-BELLIED,SHRIKE-TYRANT
agropecten,purpuratus,,,SHELL,argopecten,purpuratus,,,SHELL
all live trop. fsh,(incl. goldfish),,,,all live tropical fish,(including goldfish),,,
allolumpenus,hydrochromus,,,,allolumpenus,hypochromus,,,
anarrhichas,lupus,,ATLANTIC,WOLFFISH,anarhichas,lupus,,ATLANTIC,WOLFFISH
anarrhichas,minor,,SPOTTED,WOLFFISH,anarhichas,minor,,SPOTTED,WOLFFISH
anarrhichas,sp.,,,WOLFFISH,anarhichas,sp.,,,WOLFFISH
ancy,anser cygnoides,,,,anser,cygnoides,,SWAN,GOOSE
ancyclostoma,sp.,,,ROUNDWORM,ancylostoma,sp.,,,ROUNDWORM
anthocidaris,crassipina,,,,anthocidaris,crassispina,,,
anthocidaris,crassispiana,,,,anthocidaris,crassispina,,,
antogonia,capros,,,,antigonia,capros,,,
apistopromo,sp.,,,,apistogramma,sp.,,,
apisturus,sp.,,,SHARK,apristurus,sp.,,,SHARK
asaphilis,violasceus,,,,asaphis,violascens,,,
ascidiacea,n ielsen,,,,ascidiacea,nielsen,,,
asperidetes,nigricans,,BLACK SOFT-SHELL,TURTLE,aspideretes,nigricans,,BLACK SOFT-SHELL,TURTLE
asperidetes,sp.,,SOFT-SHELL,TURTLE,aspideretes,sp.,,SOFT-SHELL,TURTLE
asselus,aquaticus,,,,asellus,aquaticus,,,
astriclyperus,manni,,,,astriclypeus,manni,,,
astrium,calcar,,,,astralium,calcar,,,
atlpatetes,schistaceus,,,,atlapetes,schistaceus,,,
atypsis,moluccensis,,,,atyopsis,moluccensis,,,
augasoma,centaurus,,,,augosoma,centaurus,,,
aulacidae,subterminalis,,,,aulacidea,subterminalis,,,
austropepla,sp.,,,SNAIL,austropeplea,sp.,,,SNAIL
autonocara,sp.,,PEACOCK,CICHLID,aulonocara,sp.,,PEACOCK,CICHLID
axinissa,sp.,,,SPONGE,axinyssa,sp.,,,SPONGE
babalonia,spirata,,,,babylonia,spirata,,,
basiluterus,signatus,,,,basileuterus,signatus,,,
boiqa,dendrophila,,,,boiga,dendrophila,,,
boophlius,microplus,,,,rhipicephalus,microplus,,,
brachionus,plicatillis,,,,brachionus,plicatilis,,,
bratechlamys,vexillum,,,,bractechlamys,vexillum,,,
brochistosternus,ehrenbergi,,,,brachistosternus,ehrenbergii,,,
bronchocoela,smaragdina,,,,bronchocela,smaragdina,,,
bryconamericas,sp.,,,,bryconamericus,sp.,,,
buarremon brunnein,chestnut capped br,,,,buarremon,brunneinuchus,,CHESTNUT-CAP BRUSH,FINCH
bufo(rhinella),lescurei,,,,bufo,lescurei,,,
butetrflies,sp.,,,,butterflies,sp.,,,
butterlies,sp.,,,,butterflies,sp.,,,
cama,pacos,alpaca,,,lama,pacos,,,ALPACA
camprimulgus,sp.,,,,caprimulgus,sp.,,,
campylomormyrops,rhyncophorus,,,,campylomormyrus,rhynchophorus,,,
campylorhamphis,pusillus,,BROWN-BILLED,SCYTHEBILL,campylorhamphus,pusillus,,BROWN-BILLED,SCYTHEBILL
campylorhamphis,sp.,,,SCYTHEBILL,campylorhamphus,sp.,,,SCYTHEBILL
canthicaster,valentini,,,,canthigaster,valentini,,,
carchahrinus,obscurus,,,,carcharhinus,obscurus,,,
carduelus,magellanica,,,,carduelis,magellanica,,,
carioderma,cor,,,,cardioderma,cor,,,
catherina,tunicata,,,,katharina,tunicata,,,
cavernularis,sp.,,,SEA PEN,cavernularia,sp.,,,SEA PEN
celosterna,pollinosa,,,,cerosterna,pollinosa,,,
cephalapoda,sp.,,,,cephalopoda,sp.,,,
ceratoisis,flexibilis,,BAMBOO,CORAL,keratoisis,flexibilis,,BAMBOO,CORAL
chaerophon,pumilus,,,,chaerephon,pumilus,,,
chaetorhyunchus,papuensis,,,,chaetorhynchus,papuensis,,,
chaetostoma,sp.,l 148,,,chaetostoma,sp.,,,CATFISH
chaetstoma,sp 4,l 200,,,chaetostoma,sp.,,,CATFISH
chalcidoidea,parasitic wasps,,,,chalcidoidea,sp.,,PARASITIC,WASP
chalcites,sp.,,GOLDEN TWINSPOT,MOTH,chrysodeixis,chalcites,,GOLDEN TWINSPOT,MOTH
chimaera sp,fulva,,,,chimaera,fulva,,,
chirodiscidae,testiculatus,,,,schizocarpus,testiculatus,,,
chiroptera,order,,,,chiroptera,sp.,,,
chloromytilus,edulis,,,,mytilus,edulis,,,
chlorophis,haplogaster,,AFRICAN GREEN,SNAKE,chlorophis,hoplogaster,,AFRICAN GREEN,SNAKE
chlorospingus opth,common bush tanage,,,,chlorospingus,ophthalmicus,,COMMON BUSH,TANAGER
chriomantis,sp.,,,,chiromantis,sp.,,,
chrionius,fuscus,,,,chironius,fuscus,,,
ciclocolaptes,leucophrus,,,,cichlocolaptes,leucophrus,,,
cinirostrum,cinereum,,,,conirostrum,cinereum,,,
cirrepedia,sp.,,,,cirripedia,sp.,,,
citharichthy,gilberti,flatfish,,,citharichthys,gilberti,,,FLATFISH
class,holothuroidea,,,,holothuroidea,sp.,,,
clypeasterophilis,sp.,,,,clypeasterophilus,sp.,,,
