SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
ABA?,A,AU,DN,EPIPEDOBATES,SPECIES,,,POISON-ARROW FROG,AMPHIBIAN
ABA?,A,AU,DN,ALLOBATES,SPECIES,,EPIPEDOBATES,SPECIES,AMPHIBIAN
ABA?,A,AU,DN,PHOBOBATES,SPECIES,,EPIPEDOBATES,SPECIES,AMPHIBIAN
ABCL,A,CX,AB,AMBYSTOMA,CALIFORNIENSE,,CALIFORNIA TIGER,SALAMANDER,AMPHIBIAN
ACCF,A,AU,RD,PHRYNOBATRACHUS,ACCRAENSIS,,ACCRA RIVER,FROG,AMPHIBIAN
ACPT,A,AU,HY,ACRIS,CREPITANS, ,NORTHERN CRICKET,FROG,AMPHIBIAN
ACX?,A,AU,HY,ACRIS,SPECIES, ,CRICKET,FROG,AMPHIBIAN
ADHY,A,AU,LE,ADENOMERA,HYLAEDACTYLA,,NAPO TROPICAL,BULLFROG,AMPHIBIAN
ADMA,A,AU,LE,ADENOMERA,MARTINEZI,,MARTINEZ TROPICAL,BULLFROG,AMPHIBIAN
ADN?,A,AU,LE,ADENOMERA,SPECIES,,TROPICAL,BULLFROG,AMPHIBIAN
ADS?,A,CX,CF,ANDRIAS,SPECIES, ,GIANT,SALAMANDER,AMPHIBIAN
ADS?,A,CX,CF,MEGALOBATRACHUS,SPECIES, ,ANDRIAS,SPECIES,AMPHIBIAN
AFFO,A,AU,HP,AFRILAXUS,FORNASINI, ,SILVER-BAND BANANA,FROG,AMPHIBIAN
AFFU,A,AU,HP,AFRILAXUS,FULVOVITTATUS,,BANDED BANANA,FROG,AMPHIBIAN
AFR?,A,AU,HP,AFRILAXUS,SPECIES, ,BANANA,FROG,AMPHIBIAN
AGA?,A,AU,HY,AGALYCHNIS,SPECIES, ,LEAF,FROG,AMPHIBIAN
AGCL,A,AU,HY,AGALYCHNIS,CALLIDRYAS, ,RED-EYED TREE,FROG,AMPHIBIAN
AGMO,A,AU,HY,AGALYCHNIS,MORELETII,,BLACK-EYED TREE,FROG,AMPHIBIAN
AGSP,A,AU,HY,AGALYCHNIS,SPURRELLI,,GLIDING LEAF,FROG,AMPHIBIAN
AGYL,A,AU,HY,ACRIS,GRYLLUS, ,SOUTHERN CRICKET,FROG,AMPHIBIAN
ALAT,A,CX,AB,AMBYSTOMA,LATERALE, ,BLUE-SPOTTED,SALAMANDER,AMPHIBIAN
ALMU,A,AU,DI,ALYTES,MULETENSIS, ,MAJORCA MIDWIFE,TOAD,AMPHIBIAN
ALMU,A,AU,DI,BALEAPHRYNE,MULETENSIS, ,ALYTES,MULETENSIS,AMPHIBIAN
ALN?,A,AU,LE,ATELOGNATHUS,SPECIES,,,FROG,AMPHIBIAN
ALT?,A,AU,BF,ALTIPHRYNOIDES,SPECIES,,ETHIOPIAN,TOAD,AMPHIBIAN
ALY?,A,AU,DI,ALYTES,SPECIES, ,MIDWIFE,TOAD,AMPHIBIAN
AM,A, , , , , ,AMPHIBIANS,ALL AMPHIBIANS,AMPHIBIAN
AMBA,A,CX,AB,AMBYSTOMA,MACULATUM, ,SPOTTED,SALAMANDER,AMPHIBIAN
AMBD,A,CX,AB,AMBYSTOMA,DUMERILII, ,LAKE PATZCUARO,SALAMANDER,AMPHIBIAN
AMBD,A,CX,AB,BATHYSIREDON,DUMERILII,,AMBYSTOMA,DUMERILII,AMPHIBIAN
AMBD,A,CX,AB,SIREDON,DUMERILII,,AMBYSTOMA,DUMERILII,AMPHIBIAN
AMBD,A,CX,AB,AMBLYSTOMA,DUMERILI,,AMBYSTOMA,DUMERILII,AMPHIBIAN
AMBD,A,CX,AB,AMBYSTOMA,DUMERILI,,AMBYSTOMA,DUMERILII,AMPHIBIAN
AMBD,A,CX,AB,AMBYSTOMA,QUERETARENSE,,AMBYSTOMA,DUMERILII,AMPHIBIAN
AMBL,A,CX,AB,AMBYSTOMA,LERMAENSE, ,LAKE LERMA,SALAMANDER,AMPHIBIAN
AMBL,A,CX,AB,AMBYSTOMA,LERMAENSIS, ,AMBYSTOMA,LERMAENSE,AMPHIBIAN
AMBM,A,CX,AB,SIREDON,HUMBOLDTII,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,SIREDON,MEXICANUM,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,PISCIS,LUDRICUS,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,SIREDON,AXOLOTL,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,SIREDON,EDULE,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,HYPOCHTON,PISCIFORMIS,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,LUSUS,AQUARUM,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,PHYLLHYDRUS,PISCIFORMIS,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,AXOLOTES,GUTTATA,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,GYRINUS,EDULIS,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,GYRINUS,MEXICANUS,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,AMBLYSTOMA,WEISMANNI,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,AXOLOTELES,GUTTATUS,,AMBYSTOMA,MEXICANUM,AMPHIBIAN
AMBM,A,CX,AB,AMBYSTOMA,MEXICANUM, , ,AXOLOTL,AMPHIBIAN
AMBT,A,CX,AB,AMBYSTOMA,TIGRINUM, ,TIGER,SALAMANDER,AMPHIBIAN
AMBY,A,CX,AB,AMBYSTOMA,SPECIES, ,MOLE,SALAMANDER,AMPHIBIAN
AMCI,A,CX,AB,AMBYSTOMA,CINGULATUM,,FLATWOODS,SALAMANDER,AMPHIBIAN
AMCL,A,CX,AB,AMBYSTOMA,CALIFORNIENSE,,CALIFORNIA TIGER,SALAMANDER,AMPHIBIAN
AMJE,A,CX,AB,AMBYSTOMA,JEFFERSONIANUM,,JEFFERSON,SALAMANDER,AMPHIBIAN
AMMA,A,CX,AB,AMBYSTOMA,MACRODACTYLUM, ,LONG-TOED,SALAMANDER,AMPHIBIAN
AMMR,A,CX,AB,AMBYSTOMA,MACRODACTYLUM,CROCEUM,SAN. CRUZ LNG-TOED,SALAMANDER,AMPHIBIAN
AMO?,A,AU,RD,AMOLOPS,SPECIES,,SUCKER,FROG,AMPHIBIAN
AMOL,A,AU,RD,AMOLOPS,LARUTENSIS,,LARUT SUCKER,FROG,AMPHIBIAN
AMOP,A,CX,AB,AMBYSTOMA,OPACUM, ,MARBLED,SALAMANDER,AMPHIBIAN
AMPH,A,CX,AM,AMPHIUMA,SPECIES, , ,AMPHIUMA,AMPHIBIAN
AMPM,A,CX,AM,AMPHIUMA,MEANS,,TWO-TOED,AMPHIUMA,AMPHIBIAN
AMRI,A,AU,RD,AMOLOPS,RICKETTI,,CHINESE SUCKER,FROG,AMPHIBIAN
AMTC,A,CX,AB,AMBYSTOMA,CALIFORNIENSE, ,CALIFORNIA TIGER,SALAMANDER,AMPHIBIAN
AMTS,A,CX,AB,AMBYSTOMA,TIGRINUM,STEBBINSI,SONORA TIGER,SALAMANDER,AMPHIBIAN
ANCT,A, , , , , ,NON-CITES,AMPHIBIANS,AMPHIBIAN
ANDA,A,CX,CF,ANDRIAS,DAVIDIANUS, ,CHINESE GIANT,SALAMANDER,AMPHIBIAN
ANDA,A,CX,CF,MEGALOBATRACHUS,SLIGOI,,ANDRIAS,DAVIDIANUS,AMPHIBIAN
ANDA,A,CX,CF,ANDRIAS,DAVIDIANUS,DAVIDIANUS,ANDRIAS,DAVIDIANUS,AMPHIBIAN
ANDA,A,CX,CF,MEGALOBATRACHUS,DAVIDIANUS, ,ANDRIAS,DAVIDIANUS,AMPHIBIAN
ANDA,A,CX,CF,CRYPTOBRANCHUS,DAVIDIANUS,,ANDRIAS,DAVIDIANUS,AMPHIBIAN
ANDA,A,CX,CF,SIEBOLDIA,DAVIDIANA,,ANDRIAS,DAVIDIANUS,AMPHIBIAN
ANDA,A,CX,CF,MEGALOBATRACHUS,JAPONICUS,DAVIDI,ANDRIAS,DAVIDIANUS,AMPHIBIAN
ANDA,A,CX,CF,MEGALOBATRACHUS,JAPONICUS,DAVIDIANUS,ANDRIAS,DAVIDIANUS,AMPHIBIAN
ANF?,A,AU,LE,PHRYNOPUS,SPECIES,,ANDES,FROG,AMPHIBIAN
ANJA,A,CX,CF,ANDRIAS,JAPONICUS, ,JAPANESE GIANT,SALAMANDER,AMPHIBIAN
ANJA,A,CX,CF,SIEBOLDIA,MAXIMA,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,TRITOMEGAS,SIEBOLDII,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,TRITON,JAPONICUS,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,HYDROSALAMANDRA,JAPONICA,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,MEGALOBATRACHUS,MAXIMUS,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,MEGALOBATRACHUS,SIEBOLDI,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,CRYPTOBRANCHUS,MAXIMUS,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,CRYPTOBRANCHUS,SIEBOLDIA,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,HYDROSALAMANDRA,SIBOLDI,,ANDRIAS,JAPONICUS,AMPHIBIAN
ANJA,A,CX,CF,CRYPTOBRANCHUS,JAPONICUS,,ANDRIAS,JAPONICUS,AMPHIBIAN
