continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Europe,Italy,ITA,Shell,2000,938,18826,10.44,44.931
Asia,Hong Kong SAR China,HKG,Fish,2000,983,11883,114.129,22.423
Asia,Hong Kong SAR China,HKG,Crustacean,2000,67,11883,114.129,22.423
Asia,Hong Kong SAR China,HKG,Amphibian,2000,627,11883,114.129,22.423
Europe,Spain,ESP,Mammal,2000,716,3183,-3.649,40.227
Africa,Zimbabwe,ZWE,Mammal,2000,6436,6833,29.872,-19
Europe,Spain,ESP,Fish,2000,10,3183,-3.649,40.227
Asia,Taiwan,TWN,Shell,2000,542,1873,120.946,23.754
Asia,Taiwan,TWN,Coral,2000,322,1873,120.946,23.754
Europe,Italy,ITA,Reptile,2000,11765,18826,10.44,44.931
Asia,South Korea,KOR,Shell,2000,656,1202,128.103,36.504
Asia,Philippines,PHL,Shell,2000,7987,15920,122,13
Asia,Hong Kong SAR China,HKG,Mammal,2000,3558,11883,114.129,22.423
Oceania,New Zealand,NZL,Mammal,2000,1437,1649,174,-41
Europe,Italy,ITA,Mammal,2000,4119,18826,10.44,44.931
Americas,Trinidad & Tobago,TTO,Fish,2000,479,515,-61,11
Asia,Malaysia,MYS,Insect,2000,377,1717,112.5,2.5
Europe,France,FRA,Shell,2000,321,3143,2,46
Asia,China,CHN,Fish,2000,728,3370,105,35
Asia,Indonesia,IDN,Fish,2000,2151,19401,114.252,-0.976
Asia,Indonesia,IDN,Other,2000,1826,19401,114.252,-0.976
Asia,Malaysia,MYS,Fish,2000,461,1717,112.5,2.5
Asia,Thailand,THA,Fish,2000,1895,7317,100.844,15.7
Asia,Thailand,THA,Crustacean,2000,345,7317,100.844,15.7
Asia,Singapore,SGP,Fish,2000,1095,1893,103.8,1.36666666667
Asia,Hong Kong SAR China,HKG,Shell,2000,5145,11883,114.129,22.423
Asia,Philippines,PHL,Bird,2000,105,15920,122,13
Europe,Italy,ITA,Coral,2000,113,18826,10.44,44.931
Americas,Ecuador,ECU,Fish,2000,297,780,-78.497,-1.385
Americas,Ecuador,ECU,Crustacean,2000,135,780,-78.497,-1.385
Americas,Colombia,COL,Fish,2000,1025,1467,-73.076,3.9
Africa,South Africa,ZAF,Bird,2000,984,17413,23.121,-30.558
Americas,Mexico,MEX,Bird,2000,1214,5505,-102,23
Africa,Botswana,BWA,Mammal,2000,739,775,23.815,-22.182
Europe,France,FRA,Bird,2000,302,3143,2,46
Europe,Switzerland,CHE,Shell,2000,1132,6063,7.908,46.861
Asia,Philippines,PHL,Fish,2000,2869,15920,122,13
Asia,Philippines,PHL,Other,2000,2374,15920,122,13
Americas,Dominican Republic,DOM,Amphibian,2000,256,418,-70.6666666667,19
Americas,Mexico,MEX,Reptile,2000,1936,5505,-102,23
Americas,Canada,CAN,Mammal,2000,19775,28047,-95,60
Europe,Italy,ITA,Bird,2000,1621,18826,10.44,44.931
Americas,Guyana,GUY,Fish,2000,230,836,-59,5
Asia,Saudi Arabia,SAU,Fish,2000,166,196,44.585,24.023
Asia,Singapore,SGP,Amphibian,2000,135,1893,103.8,1.36666666667
Asia,Thailand,THA,Other,2000,248,7317,100.844,15.7
Asia,Indonesia,IDN,Coral,2000,11893,19401,114.252,-0.976
Asia,Vietnam,VNM,Reptile,2000,787,1703,105.314,21.491
Asia,Vietnam,VNM,Amphibian,2000,203,1703,105.314,21.491
Asia,Vietnam,VNM,Shell,2000,110,1703,105.314,21.491
Asia,Vietnam,VNM,Insect,2000,12,1703,105.314,21.491
Asia,Philippines,PHL,Crustacean,2000,1479,15920,122,13
Asia,Indonesia,IDN,Shell,2000,682,19401,114.252,-0.976
Asia,Indonesia,IDN,Crustacean,2000,707,19401,114.252,-0.976
Asia,Singapore,SGP,Other,2000,162,1893,103.8,1.36666666667
Asia,China,CHN,Shell,2000,760,3370,105,35
Asia,Japan,JPN,Shell,2000,279,1159,138,36
Asia,China,CHN,Reptile,2000,600,3370,105,35
Asia,China,CHN,Bird,2000,289,3370,105,35
Asia,Indonesia,IDN,Amphibian,2000,395,19401,114.252,-0.976
Asia,Taiwan,TWN,Fish,2000,498,1873,120.946,23.754
Asia,Taiwan,TWN,Crustacean,2000,52,1873,120.946,23.754
Asia,Taiwan,TWN,Amphibian,2000,140,1873,120.946,23.754
Asia,China,CHN,Amphibian,2000,309,3370,105,35
Americas,Canada,CAN,Bird,2000,4711,28047,-95,60
Americas,Canada,CAN,Fish,2000,1548,28047,-95,60
Africa,South Africa,ZAF,Mammal,2000,16121,17413,23.121,-30.558
Americas,Canada,CAN,Shell,2000,728,28047,-95,60
Americas,Mexico,MEX,Mammal,2000,586,5505,-102,23
Asia,Thailand,THA,Reptile,2000,142,7317,100.844,15.7
Americas,Colombia,COL,Reptile,2000,365,1467,-73.076,3.9
Asia,Philippines,PHL,Coral,2000,248,15920,122,13
Europe,Spain,ESP,Reptile,2000,1977,3183,-3.649,40.227
Europe,Spain,ESP,Bird,2000,397,3183,-3.649,40.227
Asia,South Korea,KOR,Crustacean,2000,5,1202,128.103,36.504
Europe,Germany,DEU,Reptile,2000,221,1482,9,51
Asia,Thailand,THA,Shell,2000,3580,7317,100.844,15.7
Europe,United Kingdom,GBR,Reptile,2000,422,3104,-2,54
Asia,China,CHN,Mammal,2000,586,3370,105,35
Americas,Ecuador,ECU,Amphibian,2000,84,780,-78.497,-1.385
Asia,Japan,JPN,Fish,2000,479,1159,138,36
Americas,Mexico,MEX,Fish,2000,786,5505,-102,23
Europe,Portugal,PRT,Shell,2000,14,96,-8,39.5
Americas,Canada,CAN,Other,2000,323,28047,-95,60
Americas,Mexico,MEX,Shell,2000,485,5505,-102,23
Europe,Sweden,SWE,Fish,2000,10,132,15,62
Europe,Sweden,SWE,Crustacean,2000,2,132,15,62
Europe,Sweden,SWE,Other,2000,6,132,15,62
Asia,India,IND,Shell,2000,456,911,79.619,22.881
Asia,Taiwan,TWN,Other,2000,52,1873,120.946,23.754
Europe,United Kingdom,GBR,Shell,2000,244,3104,-2,54
Asia,Philippines,PHL,Mammal,2000,187,15920,122,13
Europe,Portugal,PRT,Mammal,2000,64,96,-8,39.5
Oceania,Samoa,WSM,Coral,2000,44,92,-172.333333333,-13.5833333333
Oceania,Fiji,FJI,Fish,2000,357,6266,177.974,-17.819
Oceania,Fiji,FJI,Other,2000,285,6266,177.974,-17.819
Oceania,Fiji,FJI,Coral,2000,5298,6266,177.974,-17.819
Oceania,Fiji,FJI,Shell,2000,295,6266,177.974,-17.819
Americas,Mexico,MEX,Amphibian,2000,193,5505,-102,23
Asia,South Korea,KOR,Fish,2000,176,1202,128.103,36.504
Americas,El Salvador,SLV,Reptile,2000,140,251,-88.866,13.736
Asia,Kuwait,KWT,Reptile,2000,1,5,47.376,29.476
Asia,Bahrain,BHR,Reptile,2000,2,5,50.55,26
